muestra,t,M 5A,DUT 30A,
19,9426,79.250,123.340,
20,9950,80.100,122.367,
21,10474,79.937,124.464,
22,10996,79.360,126.680,
23,11519,78.414,123.707,
24,12043,79.996,123.810,
muestra,t,M 5A,DUT 30A,
2,526,81.367,124.464,
3,1051,78.731,121.489,
4,1575,77.416,124.044,
5,2098,79.091,124.542,
6,2621,79.020,122.999,
7,3145,78.780,122.129,
8,3669,79.599,128.869,
9,4193,79.680,125.500,
10,4716,83.282,122.392,
11,5238,79.287,125.371,
12,5763,82.504,123.444,
13,6286,80.504,124.073,
14,6809,77.751,122.498,
15,7333,77.989,128.443,
16,7856,77.788,126.322,
17,8379,79.089,124.334,
18,8902,79.809,122.498,
19,9426,80.299,125.210,
20,9950,79.457,125.190,
21,10473,80.228,119.664,
22,10995,80.309,124.749,
23,11523,79.141,119.807,
24,12046,80.146,121.649,
muestra,t,M 5A,DUT 30A,
2,525,80.481,118.604,
3,1048,79.848,120.042,
4,1571,78.884,125.390,
5,2095,79.898,123.603,
6,2618,81.271,123.524,
7,3141,81.394,123.550,
8,3666,78.882,124.874,
9,4188,78.658,123.078,
10,4712,79.893,124.667,
11,5236,78.958,123.470,
12,5760,80.286,124.229,
13,6283,83.529,120.661,
14,6805,80.235,123.235,
15,7329,78.764,127.078,
16,7853,78.780,125.577,
17,8376,79.173,124.308,
18,8899,79.663,122.366,
19,9426,82.667,123.992,
20,9949,78.792,123.183,
21,10472,80.801,119.013,
22,10996,82.942,120.640,
23,11524,82.418,123.183,
24,12047,79.443,121.116,
muestra,t,M 5A,DUT 30A,
2,525,79.602,120.311,
3,1049,78.155,125.878,
4,1573,80.479,125.577,
5,2096,78.452,123.838,
6,2618,77.656,122.946,
7,3142,81.407,122.867,
8,3666,79.803,121.702,
9,4189,80.580,122.074,
10,4711,79.121,124.749,
11,5237,81.434,126.645,
12,5759,80.895,124.879,
13,6282,79.056,125.577,
14,6806,77.887,124.070,
15,7332,80.768,122.946,
16,7855,78.048,125.963,
17,8378,79.611,126.066,
18,8902,78.023,125.442,
19,9426,78.737,125.731,
20,9949,79.062,121.649,
21,10471,80.407,123.629,
22,10997,81.246,124.926,
23,11519,78.813,122.233,
24,12042,78.225,122.207,
muestra,t,M 5A,DUT 30A,
2,525,78.979,123.209,
3,1048,79.620,120.123,
4,1572,78.573,124.434,
5,2095,76.951,122.418,
6,2618,78.924,122.233,
7,3141,78.800,127.190,
8,3664,78.997,125.699,
9,4188,78.340,124.957,
10,4711,78.659,124.931,
11,5237,83.450,121.041,
12,5762,79.708,125.236,
13,6286,79.893,125.339,
14,6810,79.955,124.330,
15,7335,79.110,124.252,
16,7859,78.103,124.719,
17,8382,78.007,123.995,
18,8906,80.225,123.130,
19,9430,80.682,125.577,
20,9953,77.528,124.177,
21,10476,78.664,121.276,
22,11000,79.701,120.693,
23,11524,79.166,122.180,
24,12047,80.406,121.729,
muestra,t,M 5A,DUT 30A,
2,525,78.557,119.961,
3,1050,79.584,123.235,
4,1573,78.462,125.551,
5,2096,78.076,124.801,
6,2622,81.295,129.319,
7,3146,79.447,125.500,
8,3669,78.673,126.757,
9,4191,80.113,123.629,
10,4716,75.970,127.989,
11,5239,79.122,124.073,
12,5762,80.465,123.235,
13,6285,81.096,122.603,
14,6810,80.185,122.182,
15,7333,81.925,121.942,
16,7856,77.173,126.604,
17,8380,80.220,125.287,
