muestra,t,M 5A,DUT 30A,
muestra,t,M 5A,DUT 30A,
2,528,77.790,125.164,
3,1051,79.588,124.438,
4,1575,83.532,127.205,
5,2099,82.191,127.063,
6,2621,77.377,124.853,
7,3144,81.572,125.138,
8,3668,82.173,127.332,
9,4192,83.812,124.775,
10,4715,83.725,122.313,
11,5238,79.036,126.117,
12,5763,75.223,125.955,
13,6285,86.760,121.516,
14,6808,78.917,125.680,
15,7332,74.436,126.747,
16,7857,82.446,126.441,
17,8380,80.668,124.516,
18,8903,76.262,126.629,
19,9427,79.684,125.699,
20,9951,87.422,124.334,
21,10474,82.703,122.260,
22,10999,83.877,122.946,
23,11523,78.866,119.231,
24,12046,74.797,123.235,
muestra,t,M 5A,DUT 30A,
2,527,82.202,127.863,
3,1050,79.809,123.498,
4,1573,82.550,125.112,
5,2096,75.559,129.095,
6,2620,78.112,127.267,
7,3143,83.009,123.890,
8,3666,83.104,126.655,
9,4190,85.866,123.392,
10,4713,81.094,125.164,
11,5236,80.996,126.322,
12,5759,81.849,124.490,
13,6283,82.914,127.762,
14,6807,87.230,128.330,
15,7330,81.156,126.040,
16,7853,82.684,124.594,
17,8378,81.424,123.235,
18,8903,77.525,125.989,
19,9426,80.060,130.109,
20,9950,80.902,125.339,
21,10474,79.863,124.308,
22,10997,79.229,120.688,
23,11519,81.579,123.916,
24,12043,86.966,121.254,
muestra,t,M 5A,DUT 30A,
2,525,79.516,124.151,
3,1047,84.304,121.888,
4,1571,86.678,124.926,
5,2095,78.469,128.179,
6,2618,80.373,126.732,
7,3141,77.979,127.901,
8,3665,81.309,128.844,
9,4188,82.469,124.749,
10,4711,80.072,126.732,
11,5234,84.106,125.345,
12,5758,83.579,124.486,
13,6282,78.934,127.114,
14,6807,84.302,121.809,
15,7331,77.233,125.236,
16,7855,80.839,125.241,
17,8378,77.573,124.047,
18,8900,81.605,128.154,
19,9425,78.637,128.342,
20,9948,81.627,124.594,
21,10471,77.905,127.216,
22,10994,80.826,124.360,
23,11517,84.494,122.577,
24,12041,80.653,125.706,
muestra,t,M 5A,DUT 30A,
2,526,76.206,125.132,
3,1050,84.227,122.893,
4,1573,78.219,125.525,
5,2096,82.346,126.527,
6,2621,82.375,128.090,
7,3144,78.292,128.934,
8,3666,77.961,121.116,
9,4190,83.437,122.867,
10,4717,81.649,122.920,
11,5239,84.338,124.775,
12,5762,74.672,128.129,
13,6286,79.840,124.667,
14,6810,77.130,128.027,
15,7332,88.393,127.216,
16,7855,77.685,127.038,
17,8379,79.632,126.543,
18,8902,73.790,128.431,
19,9425,80.454,127.546,
20,9948,75.196,123.838,
21,10473,83.368,124.512,
22,10996,78.874,121.436,
23,11518,75.773,126.348,
24,12042,78.728,123.339,
muestra,t,M 5A,DUT 30A,
2,527,81.812,121.254,
3,1050,74.942,124.151,
4,1572,79.447,123.130,
5,2096,80.857,126.594,
6,2622,83.205,122.260,
7,3144,83.306,130.059,
8,3667,87.617,121.915,
9,4190,80.978,123.940,
10,4714,82.914,122.867,
11,5237,84.056,126.220,
12,5760,80.697,126.553,
13,6285,81.009,130.661,
14,6807,78.937,123.262,
15,7330,83.462,124.620,
16,7854,82.127,127.535,
17,8378,85.271,122.498,
18,8900,78.343,126.706,
19,9423,81.188,126.553,
20,9947,83.491,123.966,
21,10471,85.384,124.697,
22,10994,76.361,122.551,
23,11517,83.952,123.969,
muestra,t,M 5A,DUT 30A,
2,529,79.911,122.604,
3,1053,80.694,122.920,
4,1575,74.087,125.628,
5,2098,78.840,124.099,
6,2622,82.073,123.783,
7,3146,82.499,125.112,
8,3669,82.872,123.733,
9,4192,83.430,126.732,
10,4717,78.228,126.135,
11,5239,80.246,127.419,
12,5762,77.425,126.476,
13,6287,79.098,124.434,
14,6810,81.127,124.542,
15,7333,79.452,126.527,
16,7857,80.693,125.673,
17,8381,83.777,126.951,
18,8905,78.262,124.438,
19,9428,77.812,129.010,
20,9951,81.101,122.418,
21,10474,80.820,123.025,
22,11001,85.119,122.471,
23,11524,77.965,125.086,
24,12048,78.868,127.103,

